"","Yuca Martes","Yuca Jueves","Yuca Viernes","Plátano Martes","Plátano Jueves","Plátano Viernes","Papa Martes","Papa Jueves","Papa Viernes","Piña Martes","Piña Jueves","Piña Viernes","Naranja Martes","Naranja Jueves","Naranja Viernes","Mandarina Martes","Mandarina Jueves","Mandarina Viernes","Banano Martes","Banano Jueves","Banano Viernes","Tomate Martes","Tomate Jueves","Tomate Viernes"
"223",1121,1131,1131,2360,2560,2560,617,600,600,733,733,733,537,540,533,1688,1696,1688,1658,1650,1667,962,1364,1364
"224",1071,1190,1131,2400,2400,2400,600,600,600,733,833,762.988505747126,537,537,533,1178,1178,1196,1642,1658,1650,1136,955,1136
"225",1071,1071,1012,2400,2400,2400,600,600,600,800,733,733,537,537,533,1178,1214,1196,1700,1683,1700,909,1136,955
"226",1190,1190,1071,2200,2200,2080,795,742,742,667,833,833,497,617,613,1612,1612,1630,1700,1700,1700,1170,1205,1136
"227",1121,1022,1002,2000,1987,1987,640,623,623,786,786,789,593,513,507,1612,1178,1196,1658,1658,1667,1326,1136,1136
"228",1131,1022,1022,1987,1987,1987,642,600,600,694,694,689,433,433,427,1178,1178,1159,1658,1658,1667,1409,1409,1174
"229",1002,1012,1002,1987,1760,1760,600,657,657,694,694,689,450,497,493,1178,1178,1159,1658,1658,1667,1205,1110,1091
"230",952,1071,1071,1507,1507,1520,600,670,675,639,639,644,537,537,533,1033,793,783,1742,1658,1667,1364,1519,1523
"231",1121,952,952,1530,1507,1533,710,700,700,794,794,789,537,497,493,793,793,783,1650,1658,1667,2045,1686,1364
"232",833,952,952,1600,1533,1440,700,700,640,561,561,556,497,497,493,793,732,768,1658,1658,1667,1534,1364,1496
"233",952,903,883,1440,1280,1180,640,617,617,706,694,689,457,433,427,757,707,696,1658,1658,1667,1458,1818,1818
"234",893,937.327044025157,952,1440,1346.94339622642,1280,623,649.880503144654,642,461,574.238993710692,517,433,453.301886792453,427,601,652.924528301887,594,1658,1655.78616352201,1667,1477,1893.72327044025,2178
"235",1071,947.433962264151,883,1440,1334.90566037736,1407,748,664.031446540881,708,569,554.265306122449,556,497,468.59748427673,493,634,643.849056603774,638,1658,1660.06289308176,1667,2614,2112.76100628931,2178
"236",952,952,883,1240,1280,1280,625,635,635,569,589,545.043209876543,497,457,453,634,732,710,1558,1742,1667,1695,1951,2140
"237",952,883,903,1280,1247,1167,577,658,650,475,561,481,457,497,447,598,743,819,1700,1658,1642,2386,2633,2140
"238",1190,1131,1022,1160,1160,1153,725,690,675,586,550,576.586206896552,497,540,543,920,978,819,1742,1658,1658,1686,1705,1667
"239",1131,1131,1141,1240,1407,1400,620,623,623,608,617,617,617,620,620,913,960,935,1650,1650,1650,2140,1951,1591
"240",952,883,883,1247,1247,1167,640,600,600,617,617,567,620,520,513,1196,1022,975,1600,1600,1600,2633,2405,2367
"241",952,883,883,1440,1440,1440,620,617,617,533,533,539,537,497,497,957,833,841,1650,1542,1542,3049,3049,3049
"242",883,883,883,1233,1120,1120,617,577,583,492,517,517,540,500,500,913,978,938,1650,1650,1667,3049,2860,2822
"243",903,893,883,1247,1240,1247,623,628,617,533,517,514,580,580,580,1022,1261,1254,1650,1650,1667,2841,2822,2822
"244",903,903,833,1233,1153,1200,617,623,617,533,533,528,680,760,760,1848,1848,1812,1650,1650,1650,2367,2178,1913
"245",833,833,784,1167,993,1007,583,583,583,533,467,472,760,800,800,2065,2065,2019.48850574713,1850,1850,1850,1311,1496,1496
"246",893,893,833,993,1080,1167,577,580,583,583,583,583,800,840,840,2065,2065,2065,1850,1850,1850,1458,2159,1951
"247",774,784,774,1000,1000,960,580,600,600,567,500,586,960,940,900,2065,2130,2130,1850,1850,1850,1725,2140,2614
"248",833,764,764,1087,1233,1153,600,647,633,592,650,692,900,960,960,2130,2154.36274509804,2189.35064935065,1750,1750,1750,2860,2841,2633
"249",833,744,714,1087,1073,1073,577,580,577,667,667,625,900,800,760,2246.86567164179,2391,2325.75,1750,1750,1750,2140,1960,1913
"250",714,833,714,1233,1247,1080,583,583,583,633,667,667,760,900,840,2312.7,2304,2297.78571428571,1750,1750,1742,1951,1496,1364
"251",784,784,784,1247,1280,1280,620,603,623,700,700,700,840,760,760,2293.125,2289.5,2281.1052631579,1750,1750,1750,1364,1496,1723
"252",744,774,714,1247,1233,1160,583,620,623,667,667,667,760,760,760,2267.36842105263,2158.28571428571,2048.58823529412,1750,1750,1750,1913,1534,1364
"253",774,808.270833333333,830.388888888889,1040,1114.47222222222,1088.93055555556,625,651.194444444444,665.3125,633,630.243055555556,609.513888888889,760,802.916666666667,814.791666666667,2049.26666666667,2050.15384615385,2051.36363636364,1750,1838.54166666667,1882.98611111111,1023,1321.22916666667,1302.875
"254",1012,883,774,1160,1007,960,790,668,668,617,600,583,900,900,850,1997.67567567568,2004.22807017544,2011.51724137931,1950,2000,2000,1091,1091,1098
"255",774,774,714,1000,1000,1007,620,617,580,508,508,483,780,690,690,2130,1957,1848,1950,1950,1850,1773,1686,1458
"256",714,774,774,1000,1080,1073,580,606,606,483,483,483,690,690,700,2011,2011,2011,1950,1950,1950,1705,2159,2386
"257",774,784,774,980,960,960,600,623,623,492,492,492,680,670,660,2152,2207,1957,1850,1725,1725,2140,2159,1932
"258",764,774,774,1080,1080,1080,620,623,620,475,467,475,600,600,600,1630,1304,1304,1825,1800,1800,1989,1922,2159
"259",784,774,714,1087,1080,1040,580,583,580,475,475,475,520,530,530,1370,1370,1370,1775,1775,1775,1951,1458,1364
"260",833,774,714,1040,1040,1040,580,580,580,475,467,467,520,500,500,1261,1413,1283,1775,1775,1700,1250,1295,1295
"261",774,784,774,1240,1280,1247,580,577,577,467,467,467,530,530,530,1261,1261,1261,1700,1700,1700,1250,1136,1091
"262",784,774,774,1247,1577,1160,577,577,577,508,508,508,520,530,530,1261,1120,1120,1850,1625,1625,1311,1402,1932
"263",893,655,655,1230,1160,1080,583,560,560,467,458,458,500,500,500,1087,1130,1130,1625,1625,1625,2614,2614,2159
"264",774,759,774,1160,1080,1073,510,510,512,467,467,467,500,510,510,1130,1130,1130,1625,1625,1625,1932,1686,1477
"265",774,764.718390804598,774,1000,1051.00574712644,1080,508,535.149425287356,557,475,471.862068965517,475,540,530.057471264368,540,1304,1196.73563218391,1196,1625,1712.21264367816,1850,1705,1458.62068965517,1364
"266",764,774,774,1040,993,1000,560,560,563,475,475,475,540,540,540,1196,1196,1196,1850,1850,1650,1068,1068,1068
"267",774,767.390804597701,774,1040,1043.84482758621,1040,520,541.557471264368,540,475,510.379310344828,475,560,554.48275862069,560,1261,1243.5,1261,1650,1668.96551724138,1600,1193,1242.93103448276,1259
"268",774,714,714,1007,1080,1087,520,517,508,583,583,583,560,560,550,1196,1261,1261,1600,1600,1600,1273,1364,1477
"269",833,833,833,1167,1160,1167,623,623,620,583,667,700,590,590,590,1457,1457,1457,1625,1625,1625,1523,1508,1477
"270",893,784,774,1320,1160,1160,620,620,623,733,733,733,595,590,590,1696,1696,1696,1725,1625,1550,1432,1506,1364
"271",784,784,714,1073,1007,1000,613,608,577,633,633,633,590,550,550,1696,1663,1663,1550,1675,1675,1398,1644,1477
"272",833,833,833,1120,1040,1040,580,540,612,692,617,617,550,550,550,1739,1587,1587,1650,1650,1650,1417,1402,1318
"273",774,784,799,1040,1040,1040,612,612,608,567,567,567,590,590,590,1587,1489,1489,1650,1650,1650,1205,1193,1068
"274",774,774,761,1247,1440,1520,648,700,700,625,625,625,590,590,590,1478,1478,1478,1650,1650,1650,1610,1468,1364
"275",764,774,714,1407,1320,1200,800,800,800,625,625,625,590,560,560,1630,1620,1620,1650,1575,1575,1159,1136,1068
"276",774,774,774,1280,1240,1233,750,720,720,625,717,717,560,520,520,1696,1587,1587,1600,1575,1425,1136,1205,909
"277",774,774,774,1280,1440,1440,777,783,783,717,717,717,520,470,470,1554,1554,1554,1425,1600,1600,1013,955,909
"278",764,784,714,1440,1440,1360,1030,1100,1040,650,717,717,490,490,490,1522,1652,1652,1600,1600,1600,1193,1259,1091
"279",784,774,784,1313,1320,1313,983,950,1023,650,650,650,450,420,420,1587,1478,1478,1600,1600,1600,1068,1136,1259
"280",774,833,774,1240,1247,1240,1020,1017,1023,725,683,683,400,380,380,1152,1152,1152,1600,1600,1600,1311,1311,1318
"281",714,714,714,1240,1240,1240,980,952,952,683,700,700,380,380,380,1261,1261,1261,1600,1750,1650,1159,1000,909
"282",714,714,714,1240,1233,1233,983,1015,1068,700,700,700,380,340,340,1326,1000,913,1550,1625,1625,1117,1686,2045
"283",833,833,689,1167,1167,1000,1365,1177,1433,750,750,781,340,340,440,946,913,1477,1650,1650,1300,2159,1705,1636
"284",714,833,764,1240,1240,1233,1300,1250,1250,650,650,650,340,340,340,913,913,913,1650,1650,1650,1318,1250,1136
"285",833,774,774,1240,1080,1080,1330,1260,1270,650,650,650,340,340,340,739,630,630,1650,1650,1650,1068,1068,1250
"286",774,774,784,1233,1320,1327,1170,1215,1220,650,650,650,340,340,340,630,630,630,1650,1650,1575,1318,1364,1364
